SPECIES,COMMON_NAME,SCI_NAME,SPECIES_GROUP,MATURITY,NOTES
317,RAGFISH,Icosteus aenigmaticus,Fish,U,
334,LAMPREY,Petromyzontidae,Fish,U,
345,CALIFORNIA SMOOTHTONGUE,Leuroglossus stilbius,Deep-Sea Smelt,U,
346,SNAILFISH,Liparididae,Fish,U,
358,BLACKMOUTH EELPOUT,Lycodapus fierasfer,Fish,U,
359,PALLID EELPOUT,Lycodapus mandibularis,Fish,U,
369,SLENDER SNIPEFISH,Macroramphosus gracilis,Fish,U,
376,BIGSCALE,Melamphaidae,Fish,U,
378,DRAGONFISH,Melanostomiidae,Fish,U,
392,COMMON MOLA,Mola mola,Fish,U,
407,MYCTOPHID,Myctophidae,Myctophid,U,Does not include California headlightfish and blue lanternfish.  Additional species were enumerated seperately over time such as the California lanternfish (see notes on species for years enumerated).
418,SNIPE EEL,Nemichthyidae,Fish,U,
465,BARRACUDINA,Paralepididae,Fish,U,
472,PACIFIC POMPANO,Peprilus simillimus,Fish,U,
491,SPOOKFISH,Opisthoproctidae,Fish,U,
503,PLAINFIN MIDSHIPMAN,Porichthys notatus,Fish,U,
507,BLUE SHARK,Prionace glauca,Elasmobranch,U,
521,BIG SKATE,Raja binoculata,Elasmobranch,U,
525,LONGNOSE SKATE,Raja rhina,Elasmobranch,U,
657,NORTH PACIFIC SPINY DOGFISH,Squalis suckleyi,Elasmobranch,U,
663,HATCHETFISH,Sternoptychidae,Fish,U,
669,CALIFORNIA LANTERNFISH,Symbolophorus californiensis,Myctophid,U,Began enumeration in 2008.
672,PIPEFISH,Sygnathidae,Fish,U,
680,CALIFORNIA LIZARDFISH,Synodus lucioceps,Fish,U,
681,LONGFIN DRAGONFISH,Tactostoma macropus,Fish,U,
685,BLUE LANTERNFISH,Tarletonbeania crenularis,Myctophid,U,
687,SMALLEYE SQUARETAIL,Tetragonurus cuvieri,Fish,U,
698,PACIFIC ELECTRIC RAY,Torpedo californica,Elasmobranch,U,
702,KING-OF-THE-SALMON,Trachipterus altivelis,Fish,U,
734,COMBFISH,Zaniolepididae,Fish,U,
743,EELPOUT,Zoarcidae,Fish,U,
745,SHARK,Elasmobranchi,Elasmobranch,U,
746,SKATE,Rajidae,Elasmobranch,U,
1101,MARKET SQUID,Doryteuthis opalescens,Cephalopod,U,
1114,CRUSTACEAN,Crustacea,Crustacean,U,
1169,MANTIS SHRIMP,Stomatopoda,Crustacean,U,Began enumeration in 2009.
1172,MYSID,Mysidacea,Crustacean,U,
1350,SHRIMP,Natantia,Crustacean,U,
1354,CARIDEAN SHRIMP,Caridea,Crustacean,U,
1356,CRANGON SHRIMP,Crangon spp.,Crustacean,U,
1472,KRILL ,Euphausiacea,Euphausiid,U,"Beginning in 2002, krill were identified to species by UCSC, but data are still preliminary for some years."
1663,PELAGIC RED CRAB,Pleuroncodes planipes,Crustacean,U,
1766,SEA NETTLE,Chrysaora fuscescens,Jellyfish,U,Enumeration stopped in 2002 and then resumed in 2005.
1795,PHRONIMA,Phronima spp.,Hyperiid Amphipod,U,Enumeration stopped in 2002 and then resumed in 2015.
1869,HETEROPOD,Pterotracheoidea,Gelatinous,U,Enumeration stopped in 2002 and then resumed in 2012.
1899,SPINY LOBSTER LARVAE,Phyllosoma,Crustacean,U,
1917,PANDALID SHRIMP,Pandalus jordani,Crustacean,U,
